pmc_ID,accession
PMC4016589,GSM71831
PMC4016589,GSM71835
PMC4016589,GSM72108
PMC4016589,GSM72109
PMC4016589,GSM72114
PMC4016589,GSM72117
PMC4016589,GSM72229
PMC4016589,GSM72253
PMC4016589,GSM72281
PMC4016589,GSM72502
PMC4016589,GSM359391
PMC4016589,GSM359392
PMC4016589,GSM359393
PMC4016589,GSM359395
PMC4016589,GSM359397
PMC4016589,GSM359399
PMC4016589,GSM359401
PMC4016589,GSM359403
PMC4016589,GSM359405
PMC4016589,GSM359407
PMC4016589,GSM674258
PMC4016589,GSM251560
PMC4016589,GSM251586
PMC4016589,GSM251588
PMC4016589,GSM251591
PMC4016589,GSM251593
PMC4016589,GSM280410
PMC4016589,GSM280416
PMC4016589,GSM281084
PMC4016589,GSM281259
PMC4016589,GSM281276
PMC4016589,GSM281346
PMC4016589,GSM281351
PMC4016589,GSM281667
PMC4016589,GPL890
PMC6053766,GSE58539
PMC6053766,GSE58539
PMC6053766,GSE58539
PMC6053766,GSE58539
PMC4938905,PRJNA224728
PMC4938946,SRP075425
PMC4938946,SRP075425
PMC4938946,SRP075425
PMC3582436,GPL570
PMC3582436,GPL570
PMC3582436,GPL570
PMC3582436,GPL570
PMC3582436,GPL570
PMC3582436,GPL570
PMC3582436,GPL570
PMC3582436,GPL570
PMC3582436,GSM405175
PMC3582436,GSM341406
PMC3582436,GPL570
PMC3582436,GSM405175
PMC3582436,GSM341406
PMC3582436,GPL570
PMC3582483,SRA047025
PMC3582489,GSE15745
PMC3582591,GSE27574
PMC3582595,GSE6536
PMC3582595,GPL2507
PMC3582595,GPL2507
PMC3583171,SRA048658
PMC3583795,DRA000602
PMC3585874,SRP014728
PMC3585874,SRA056996
PMC4514945,GSE64570
PMC4517385,PRJNA282155
PMC4517385,SRX145413
PMC4517385,SRX145413
PMC4517385,SRX145413
PMC4517385,PRJNA282155
PMC4517385,SRX145413
PMC4517385,SRX145413
PMC4515932,SRR1297207
PMC4518884,GSE53170
PMC4518884,GSE53170
PMC4518884,GSE53170
PMC4518884,GSE53170
PMC4518884,GSE53170
PMC4518884,GSE53170
PMC4518884,GSE53170
PMC4518661,SRP056082
PMC4349605,PRJNA208776
PMC4349605,PRJNA163151
PMC4349605,PRJNA185645
PMC4349605,PRJNA208776
PMC4340671,GSE19024
PMC4340671,GSE13988
PMC4340671,GSE19024
PMC4340671,GSE13988
PMC4352242,SRP004363
PMC4352242,SRP032993
PMC4352242,SRP004363
PMC4352242,SRP032993
PMC4352242,SRP041838
PMC4342875,GSE64579
PMC4336699,SRX535330
PMC4347561,GSE50880
PMC4347651,SRP051982
PMC4337092,GSE54105
PMC4337092,GSE54105
PMC4337061,GSE64095
PMC4337061,GSE64095
PMC4349229,SRP047260
PMC4349229,SRP052927
PMC4334403,GSE21512
PMC4334403,GSE21512
PMC4334403,GSM100381
PMC4334403,GSM103823
PMC4334403,GSE31039
PMC4334403,GSM100014
PMC4334403,GSE21512
PMC4334403,GSE39756
PMC4334403,GSE37074
PMC4334403,GSM101417
PMC4334403,GSE31039
PMC4334403,GSM100014
