journal,pmc_ID,accession,converted_accession
BMC_Neurosci,PMC5134101,GSE77384,GSE77384
BMC_Neurosci,PMC4875640,GSE69151,GSE69151
BMC_Neurosci,PMC1310614,GSE3396,GSE3396
BMC_Biochem,PMC2921344,GSE22452,GSE22452
BMC_Biochem,PMC2955586,GSE20601,GSE20601
BMC_Biochem,PMC4126993,GSE24097,GSE24097
BMC_Biochem,PMC5134233,GSE19826,GSE19826
BMC_Biochem,PMC5134233,GSE27342,GSE27342
BMC_Infect_Dis,PMC4233057,PRJNA262506,SRP048224
BMC_Infect_Dis,PMC2752459,GSE14390,GSE14390
BMC_Infect_Dis,PMC2752459,GSE2109,GSE2109
BMC_Infect_Dis,PMC2752459,GSE8894,GSE8894
BMC_Infect_Dis,PMC2564935,GPL3033,GSE12533
BMC_Infect_Dis,PMC2564935,GSE12533,GSE12533
BMC_Infect_Dis,PMC5084317,PRJNA290623,NaN
BMC_Infect_Dis,PMC5084317,PRJNA306682,SRP067658
BMC_Infect_Dis,PMC3599118,ERP000111,ERP000111
BMC_Infect_Dis,PMC3037883,GSE18090,GSE18090
BMC_Infect_Dis,PMC3037883,GSE9378,GSE9378
BMC_Infect_Dis,PMC3037883,GSE13052,GSE13052
BMC_Infect_Dis,PMC3189140,GSE28658,GSE28658
BMC_Infect_Dis,PMC2826305,GSE16207,GSE16207
BMC_Infect_Dis,PMC3163546,GSE28405,GSE28405
BMC_Infect_Dis,PMC4994210,GSE51808,GSE51808
BMC_Infect_Dis,PMC3679792,GSE24956,GSE24956
BMC_Infect_Dis,PMC3848773,GPL16935,GSE45860
BMC_Infect_Dis,PMC4061512,GSE56559,GSE56559
BMC_Infect_Dis,PMC4061512,GSE56561,GSE56561
BMC_Infect_Dis,PMC4061512,GSE40719,GSE40719
BMC_Infect_Dis,PMC4474563,ERS003549,ERP000152
BMC_Infect_Dis,PMC4474563,ERS006757,ERP000185
BMC_Infect_Dis,PMC4474563,ERS006775,ERP000185
BMC_Infect_Dis,PMC4474563,ERS012090,ERP000185
BMC_Infect_Dis,PMC4474563,ERS012138,ERP000185
BMC_Infect_Dis,PMC4474563,ERS012143,ERP000185
BMC_Infect_Dis,PMC4474563,ERS050261,ERP000872
BMC_Infect_Dis,PMC4474563,ERS050288,ERP000872
BMC_Infect_Dis,PMC4474563,ERS050336,ERP000872
BMC_Infect_Dis,PMC4474563,ERS050451,ERP000872
BMC_Infect_Dis,PMC4474563,ERS096165,ERP000413
BMC_Infect_Dis,PMC4474563,ERS096166,ERP000413
BMC_Infect_Dis,PMC4474563,ERS096169,ERP000413
BMC_Infect_Dis,PMC4474563,ERS096172,ERP000413
BMC_Infect_Dis,PMC4474563,ERS096173,ERP000413
BMC_Infect_Dis,PMC4474563,ERS096157,ERP000413
BMC_Infect_Dis,PMC4474563,ERS096159,ERP000413
BMC_Infect_Dis,PMC4474563,ERS096158,ERP000413
BMC_Infect_Dis,PMC4608321,DRX032164,DRP002665
BMC_Infect_Dis,PMC4608321,DRX032256,DRP002665
BMC_Infect_Dis,PMC5259852,GSE69611,GSE69611
BMC_Infect_Dis,PMC5282769,PRJNA342178,SRP087582
BMC_Infect_Dis,PMC5282769,SRR4195752,SRP087582
BMC_Infect_Dis,PMC5282769,SRR4195753,SRP087582
BMC_Infect_Dis,PMC5282769,SRR4195754,SRP087582
BMC_Infect_Dis,PMC5282769,SRR4195755,SRP087582
BMC_Infect_Dis,PMC5282769,SRR4195756,SRP087582
BMC_Infect_Dis,PMC5282769,SRR4195757,SRP087582
BMC_Infect_Dis,PMC5282769,SRR4195758,SRP087582
BMC_Infect_Dis,PMC5282769,SRR4195759,SRP087582
BMC_Infect_Dis,PMC5282769,SRR4195761,SRP087582
BMC_Infect_Dis,PMC5405508,GSE96550,GSE96550
BMC_Infect_Dis,PMC4387708,GSE62306,GSE62306
BMC_Infect_Dis,PMC5496404,DRA005275,DRP003343
BMC_Infect_Dis,PMC5506614,SRX2961214,SRP110606
BMC_Infect_Dis,PMC5506614,SRX2961215,SRP110606
BMC_Infect_Dis,PMC5506614,SRA581793,SRP110606
BMC_Infect_Dis,PMC4739388,GSE69837,GSE69837
BMC_Infect_Dis,PMC5551022,GSE66476,GSE66476
BMC_Infect_Dis,PMC5634883,PRJNA385863,NaN
BMC_Infect_Dis,PMC5100261,ERS033810,ERP000156
BMC_Infect_Dis,PMC5100261,ERS194295,ERP000156
BMC_Infect_Dis,PMC5100261,ERP000156,ERP000156
BMC_Infect_Dis,PMC4236460,PRJNA232737,NaN
BMC_Infect_Dis,PMC4262082,GSE52780,GSE52780
BMC_Infect_Dis,PMC5129388,GPL21572,GSE114006
BMC_Infect_Dis,PMC5129388,GSE88708,GSE88708
BMC_Infect_Dis,PMC5031349,GSE57736,GSE57736
BMC_Infect_Dis,PMC5031349,GPL13497,GSE87211
BMC_Infect_Dis,PMC5952419,GSE107104,GSE107104
BMC_Infect_Dis,PMC6042416,SRR1925378,SRP056429
BMC_Infect_Dis,PMC6042416,SRR1925905,SRP056429
BMC_Infect_Dis,PMC6042416,SRR1925811,SRP056429
BMC_Infect_Dis,PMC6042416,SRR1924572,SRP056429
BMC_Infect_Dis,PMC6042416,SRR1925227,SRP056429
BMC_Infect_Dis,PMC6042416,SRR1927285,SRP056429
BMC_Infect_Dis,PMC6042416,SRR1928041,SRP056429
BMC_Infect_Dis,PMC6042416,SRR1931205,SRP056429
BMC_Infect_Dis,PMC6052536,PRJNA338313,SRP081290
BMC_Infect_Dis,PMC6122477,SRP136087,SRP136087
BMC_Infect_Dis,PMC6122477,PRJNA439187,SRP136087
BMC_Infect_Dis,PMC6182868,PRJNA244279,NaN
BMC_Infect_Dis,PMC6191920,SRR6743837,SRP132947
BMC_Infect_Dis,PMC6191920,SRR6743880,SRP132947
BMC_Infect_Dis,PMC6206636,SRP163370,NaN
BMC_Infect_Dis,PMC6206636,PRJNA494633,NaN
BMC_Infect_Dis,PMC6267907,PRJNA186355,SRP019714
BMC_Infect_Dis,PMC6267907,PRJNA362852,NaN
BMC_Infect_Dis,PMC6276198,PRJNA480117,SRP152720
BMC_Infect_Dis,PMC6322324,DRR076334,DRP003335
BMC_Infect_Dis,PMC6371417,ERS1812814,ERP023909
BMC_Infect_Dis,PMC6371417,ERS1812829,ERP023909
BMC_Infect_Dis,PMC6434803,SRP159442,SRP159442
BMC_Infect_Dis,PMC6446405,PRJNA315766,SRP074324
BMC_Infect_Dis,PMC6480722,PRJNA313047,NaN
BMC_Infect_Dis,PMC6542142,SRP066090,SRP066090
BMC_Infect_Dis,PMC6542142,SRR2932830,SRP066090
BMC_Infect_Dis,PMC6542142,SRR2932847,SRP066090
BMC_Infect_Dis,PMC6542142,SRR1021009,SRP032372
BMC_Infect_Dis,PMC6542142,SRR540252,SRP014857
BMC_Infect_Dis,PMC6542142,SRR629571,SRP017465
BMC_Infect_Dis,PMC6542142,SRR2932838,SRP066090
BMC_Infect_Dis,PMC6542142,SRR2932841,SRP066090
BMC_Infect_Dis,PMC6542142,SRR2932831,SRP066090
BMC_Infect_Dis,PMC6542142,SRR2932832,SRP066090
BMC_Infect_Dis,PMC6542142,SRR2932833,SRP066090
BMC_Infect_Dis,PMC6542142,SRR2932834,SRP066090
BMC_Infect_Dis,PMC6542142,SRR2932835,SRP066090
BMC_Infect_Dis,PMC6542142,SRR2932839,SRP066090
BMC_Infect_Dis,PMC6542142,SRR2932840,SRP066090
BMC_Infect_Dis,PMC6542142,SRR2932842,SRP066090
BMC_Infect_Dis,PMC6542142,SRR2932843,SRP066090
BMC_Infect_Dis,PMC6542142,SRR2932844,SRP066090
BMC_Infect_Dis,PMC6542142,SRR2932845,SRP066090
BMC_Infect_Dis,PMC6542142,SRR2932846,SRP066090
BMC_Infect_Dis,PMC6542142,SRR2932837,SRP066090
BMC_Infect_Dis,PMC6542142,SRR2932836,SRP066090
Basic_Res_Cardiol,PMC5258789,GSM105949,GSE4690
Basic_Res_Cardiol,PMC3597335,GSE39924,GSE39924
Basic_Res_Cardiol,PMC3032896,GDS1362,GSE1869
Basic_Res_Cardiol,PMC3228945,GSE27962,GSE27962
Acta_Vet_Scand,PMC1868913,GSE4577,GSE4577
Acta_Vet_Scand,PMC6182802,SRP153398,SRP153398
Acta_Vet_Scand,PMC6182802,PRJNA479518,SRP153398
Acta_Vet_Scand,PMC6591865,ERS3126950,ERP113603
BMC_Nephrol,PMC2533650,GSE11500,GSE11500
BMC_Nephrol,PMC2709617,GSE8114,GSE8114
BMC_Nephrol,PMC2709617,GSM199994,GSE8114
BMC_Nephrol,PMC2936873,GSE19460,GSE19460
BMC_Nephrol,PMC4430919,GSE63272,GSE63272
BMC_Nephrol,PMC5016939,GSE1009,GSE1009
BMC_Nephrol,PMC5016939,GSE30528,GSE30528
BMC_Nephrol,PMC5016939,GPL8300,GSE83227
BMC_Nephrol,PMC5016939,GPL571,GSE52428
BMC_Nephrol,PMC5069870,GSE37460,GSE37460
BMC_Nephrol,PMC5069870,GPL11670,GSE69438
BMC_Nephrol,PMC5069870,GPL14663,GSE32591;GSE32592
BMC_Nephrol,PMC4016589,GSE5104,GSE5104
BMC_Nephrol,PMC4016589,GSE3219,GSE3219
BMC_Nephrol,PMC4016589,GSE14373,GSE14373
BMC_Nephrol,PMC4016589,GSE27274,GSE27274
BMC_Nephrol,PMC4016589,GSE9943,GSE9943
BMC_Nephrol,PMC4016589,GSE11166,GSE11166
BMC_Nephrol,PMC4016589,GSM115035,GSE5104
BMC_Nephrol,PMC4016589,GSM115037,GSE5104
BMC_Nephrol,PMC4016589,GSM115038,GSE5104
BMC_Nephrol,PMC4016589,GSM71831,GSE3219
BMC_Nephrol,PMC4016589,GSM71835,GSE3219
BMC_Nephrol,PMC4016589,GSM72108,GSE3219
BMC_Nephrol,PMC4016589,GSM72109,GSE3219
BMC_Nephrol,PMC4016589,GSM72114,GSE3219
BMC_Nephrol,PMC4016589,GSM72117,GSE3219
BMC_Nephrol,PMC4016589,GSM72229,GSE3219
BMC_Nephrol,PMC4016589,GSM72253,GSE3219
BMC_Nephrol,PMC4016589,GSM72281,GSE3219
BMC_Nephrol,PMC4016589,GSM72502,GSE3219
BMC_Nephrol,PMC4016589,GSM359391,GSE14373
BMC_Nephrol,PMC4016589,GSM359392,GSE14373
BMC_Nephrol,PMC4016589,GSM359393,GSE14373
BMC_Nephrol,PMC4016589,GSM359395,GSE14373
BMC_Nephrol,PMC4016589,GSM359397,GSE14373
BMC_Nephrol,PMC4016589,GSM359399,GSE14373
