journal,pmc_ID,converted_accession,species
Genome_Biol,PMC3491372,ERP000687,Mus musculus
Database_(Oxford),PMC6450036,SRP134101,Mus musculus
Genom_Data,PMC4583686,GSE52721,Mus musculus
Proc_Natl_Acad_Sci_U_S_A,PMC6310821,GSE118007,Mus musculus
Life_Sci_Alliance,PMC6907387,GSE130380,Mus musculus
Cancer_Cell,PMC6853173,ERP040713,Mus musculus
Diabetes,PMC3478528,GSE38590,Mus musculus
Front_Mol_Neurosci,PMC5768633,GSE102965,Mus musculus
Sci_Rep,PMC6797730,ERP109691,Mus musculus
PLoS_One,PMC3820678,GSE48383,Mus musculus
Genom_Data,PMC4535947,GSE28258,Mus musculus
Genome_Biol,PMC6195759,SRP150149,Mus musculus
J_Exp_Med,PMC4172220,GSE57741,Mus musculus
Parasit_Vectors,PMC6839085,SRP212839,Mus musculus
Kidney_Int,PMC4245460,GSE53156,Mus musculus
Sci_Rep,PMC5722952,GSE83535,Mus musculus
PLoS_One,PMC4188617,GSE54774,Mus musculus
Sci_Rep,PMC5216385,GSE82020,Mus musculus
Genome_Biol,PMC2784322,GSE13277,Mus musculus
Genome_Biol,PMC2784322,GSE13278,Mus musculus
J_Exp_Med,PMC5940259,GSE84195,Mus musculus
Environ_Health_Perspect,PMC1247660,GSE1465,Mus musculus
BMC_Genomics,PMC4083401,GSE30878,Mus musculus
Development,PMC6803373,GSE116296,Mus musculus
Nucl_Recept_Signal,PMC4594550,GSE64075,Mus musculus
Nat_Commun,PMC5520053,GSE90788,Mus musculus
J_Exp_Med,PMC6080902,GSE97504,Mus musculus
JAKSTAT,PMC3876425,GSE42880,Mus musculus
eLife,PMC6544436,GSE122856,Mus musculus
BMC_Genomics,PMC3298487,GSE32083,Mus musculus
BMC_Genomics,PMC3298487,GSE32084,Mus musculus
Nucleic_Acids_Res,PMC6954429,GSE125340,Mus musculus
eLife,PMC4982761,DRP002311,Mus musculus
Nat_Commun,PMC5550436,GSE97487,Mus musculus
PLoS_Genet,PMC4726497,GSE73296,Mus musculus
Toxicol_Appl_Pharmacol,PMC5703654,GSE102016,Mus musculus
G3_(Bethesda),PMC5100856,GSE81078,Mus musculus
Mol_Metab,PMC5369282,GSE85425,Mus musculus
Acta_Pharm_Sin_B,PMC6976993,GSE121915,Mus musculus
EMBO_Rep,PMC7001511,SRP219342,Mus musculus
PLoS_One,PMC3148235,GSE28261,Mus musculus
Reproduction,PMC5064760,SRP068491,Mus musculus
Nat_Immunol,PMC5540372,GSE25643,Mus musculus
J_Cell_Biol,PMC5496607,GSE94074,Mus musculus
Proc_Natl_Acad_Sci_U_S_A,PMC6329940,GSE117936,Mus musculus
PLoS_Genet,PMC4726497,GSE73366,Mus musculus
Genom_Data,PMC4477707,GSE35782,Mus musculus
Nat_Commun,PMC6610634,GSE107217,Mus musculus
Genome_Biol,PMC6010209,GSE109989,Mus musculus
J_Neuroinflammation,PMC4650866,GSE71025,Mus musculus
PLoS_Biol,PMC3295824,GSE33353,Mus musculus
BMC_Bioinformatics,PMC5603007,GSE86865,Mus musculus
Nat_Commun,PMC6954112,GSE124280,Mus musculus
Nat_Commun,PMC6642117,GSE108207,Mus musculus
Beilstein_J_Nanotechnol,PMC4734442,GSE60801,Mus musculus
eLife,PMC5716664,SRP099328,Mus musculus
J_Exp_Med,PMC5748855,SRP108693,Mus musculus
Nat_Commun,PMC5121420,GSE74893,Mus musculus
J_Exp_Med,PMC4925019,SRP070837,Mus musculus
J_Exp_Med,PMC2118649,GSE7194,Mus musculus
J_Cell_Biol,PMC3461518,GSE28457,Mus musculus
Nat_Commun,PMC6109099,SRP142509,Mus musculus
Nat_Commun,PMC6045675,SRP135245,Mus musculus
PLoS_One,PMC3608653,GSE40463,Mus musculus
Sci_Rep,PMC6821754,GSE124359,Mus musculus
Sci_Rep,PMC6821754,GSE124712,Mus musculus
Oncotarget,PMC4496166,GSE63551,Mus musculus
PLoS_Genet,PMC5825159,SRP119900,Mus musculus
Diabetes,PMC3121428,GSE27382,Mus musculus
PLoS_One,PMC3739790,GSE45876,Mus musculus
Commun_Biol,PMC6123728,DRP001160,Mus musculus
BMC_Physiol,PMC1853107,GSE6286,Mus musculus
Genome_Biol,PMC4076608,GSE53714,Mus musculus
Nat_Commun,PMC5553130,GSE69718,Mus musculus
PLoS_Genet,PMC1331977,GSE3330,Mus musculus
Genom_Data,PMC4430722,GSE64215,Mus musculus
Database_(Oxford),PMC4513695,GSE60019,Mus musculus
BMC_Genomics,PMC3175228,GSE28824,Mus musculus
PLoS_One,PMC4180934,GSE56904,Mus musculus
Nature,PMC7111535,SRP142629,Mus musculus
Cancer_Metab,PMC4551760,GSE63247,Mus musculus
Nature,PMC5866719,ERP023265,Mus musculus
PLoS_One,PMC5491065,GSE93055,Mus musculus
Pain,PMC6319583,GSE108896,Mus musculus
PLoS_Biol,PMC5015973,GSE68773,Mus musculus
Front_Pharmacol,PMC5609594,GSE98303,Mus musculus
Nat_Commun,PMC6109099,GSE113688,Mus musculus
G3_(Bethesda),PMC3815053,GSE48505,Mus musculus
Mol_Syst_Biol,PMC6896232,GSE120963,Mus musculus
JAKSTAT,PMC3876425,GSE42443,Mus musculus
